local,preco,metragem,quartos,garagens,banheiros,bairro
"Avenida Visconde de Guarapuava, Centro",187000.0,28.0,1.0,1.0,1.0,28
"Avenida Visconde de Guarapuava, Centro",279900.0,52.0,2.0,2.0,2.0,28
"Rua João Mequetti, Santa Cândida",210000.0,60.0,3.0,1.0,1.0,60
"Capão da Imbuia, Curitiba",1299900.0,350.0,3.0,6.0,3.0,25
"Rua Parnaíba, São Francisco",1049000.0,182.0,3.0,1.0,3.0,65
"Rua Frederico Virmond, Jardim das Américas",1350000.0,242.0,4.0,3.0,6.0,45
"Rua Francisco Derosso, Alto Boqueirão",284700.0,55.0,2.0,1.0,2.0,3
"Rua Arary Souto, Bacacheri",319000.0,51.0,2.0,1.0,1.0,9
"Rua Capitão José Maria Sobrinho, Fanny",410000.0,60.0,2.0,1.0,2.0,36
"Mossunguê, Curitiba",632500.0,80.0,3.0,2.0,2.0,50
"Rua Amazonas, Água Verde",549900.0,75.0,3.0,1.0,2.0,1
"Rua Alberto Potier, Boa Vista",726315.0,85.0,3.0,1.0,3.0,15
"Rua Jornalista Caio Machado, Santa Quitéria",335000.0,52.0,2.0,1.0,2.0,62
"Rua Vicente Ciccarino, Boa Vista",446900.0,57.0,2.0,1.0,2.0,15
"Rua Jovino do Rosário, Boa Vista",376552.0,10.0,2.0,1.0,2.0,15
"Rua João Bonat, Novo Mundo",520456.0,74.0,3.0,1.0,2.0,51
"Rua Belém, Cabral",549000.0,98.0,3.0,1.0,3.0,19
"Rua Barão do Rio Branco, Centro",990248.0,136.0,2.0,2.0,2.0,28
"Rua Doutor Leocádio Cisneiros Corrêa, Xaxim",449000.0,99.0,2.0,2.0,2.0,79
"Uberaba, Curitiba",570000.0,114.0,3.0,1.0,2.0,75
"Rua Manoel de Souza Dias Negrão, Boa Vista",1890000.0,394.0,3.0,4.0,5.0,15
"Rua Engenheiros Rebouças, Rebouças",659900.0,67.0,2.0,2.0,2.0,58
"Rua Reinaldo Stocco, Pinheirinho",1048000.0,200.0,3.0,1.0,3.0,55
"Rua Santo Antônio, Rebouças",430000.0,66.0,2.0,1.0,1.0,58
"Rua Tobias de Macedo Júnior, Santo Inácio",433530.0,56.0,2.0,1.0,2.0,63
"Uberaba, Curitiba",650000.0,126.0,3.0,2.0,2.0,75
"Rua Anna Dinarowski Sobczyk, Cidade Industrial",370000.0,50.0,2.0,1.0,1.0,33
"Bigorrilho, Curitiba",700000.0,70.0,2.0,1.0,2.0,14
"Rua Diógenes do Brasil Lobato, Tingui",372074.0,56.0,2.0,1.0,2.0,74
"Mossunguê, Curitiba",613100.0,90.0,3.0,2.0,2.0,50
"Rua Vinicios José Bório Júnior, Campo de Santana",195000.0,46.0,2.0,1.0,1.0,24
"Avenida Fredolin Wolf, Pilarzinho",519000.0,102.0,3.0,2.0,2.0,54
"Rua Casemiro Augusto Rodacki, Cidade Industrial",330900.0,48.0,2.0,1.0,2.0,33
"Rua Coronel Alfredo Ferreira da Costa, Jardim das Américas",469000.0,85.0,3.0,2.0,3.0,45
"Rua Paulo Setúbal, Alto Boqueirão",302822.0,55.0,2.0,1.0,1.0,3
"Avenida Iguaçu, Rebouças",354900.0,44.0,2.0,1.0,2.0,58
